sentence,contains_bad_word
Memiliki furnitur sendiri di rumah membuatnya jauh lebih nyaman baginya. Namun masih bisa mendapatkan bantuan jika dia membutuhkannya. Mereka memeriksa mereka dua atau tiga kali sehari dan memberikan obatnya juga.,0
Pesisir barat Grande Terre adalah tujuan wisata utama karena rawa bakaunya.,0
"Seluruh surplus terpadu yang disimpan diasumsikan, PDB akan jauh dari rata-rata historis AS.",0
Apa kamu sering memainkan game multiplayer atau single player? Aku ingin mengetahui perbedaan dan kelebihan masing-masing mode permainan.,0
Bejat! Lo itu cuma tukang bohong dan gak punya harga diri.,1
Anjing tolol ini ikut2an ngomongin kepercayaan orang lain dasar tolol urus saja kepercayaan kau kasian Deh.,1
Cinta kita ini seperti cinta monyet.,0
HAHAHAHAHAHAHAHAHAHA BAJINGAN LO,1
Tak satu pun dari musisi yang saya suka baru-baru ini.,0
"Ga usah sok ngartis sih anjing, jangan sok cantik banyak gaya lu...",1
GAO memiliki ROI sebesar $57 per dolar yang dibelanjakan.,0
Astaga masih pagi pay kau membuat ku ingin berkata anjing,1
Kita harus selalu memperhatikan kesehatan mental kita dan mencari bantuan jika kita merasa terbebani oleh masalah atau stres yang berlebihan.,0
Tampilannya sangat bagus.,0
Orang lain yang kita tunjuk akan melakukannya.,0
Sebagian besar konser rock berlangsung di amfiteater Sultan's Pool.,0
 satu hal sama kader kader sama gobloknya ,1
sah sah saja kalau fahri hamzah ingin bubarkan komisi pemberantasan korupsi karena ott bikin gaduh padahal yang gaduh kan koruptornya yang bersih tidak gaduh pak jokowi yang salah ,1
Area piknik tidak berada di dekat sungai.,0
"Saat kita berada dalam hubungan, penting untuk terbuka dan jujur dengan pasangan kita, serta selalu mencari cara untuk memperkuat ikatan emosional dan mempererat hubungan kita.",0
di sirkus namanya Tong Setan,0
Putri saya tidak pernah marah ketika saya melakukan itu.,0
"Babi kau, tidak ada gunanya berbicara denganmu dan membuang waktu dengan orang yang tidak berguna seperti kamu!",1
Kamu tahu tidak cara mengalahkan bos pada level ini? Aku kesulitan dan butuh bantuanmu.,0
Pendekatan opt-out tidak pernah meningkatkan berapa banyak pengacara Texas dapat berkontribusi dalam dua puluh tahun terakhir.,0
"Goblok banget sih lo, nggak paham-paham aja!",1
Orang-orang menempatkan apa yang seharusnya menjadi tabungan pribadi mereka untuk memamerkan kekayaan lebih sering dalam beberapa tahun terakhir.,0
 belum kamu masak pembangunan cuma dihitung konstruksinya dari ide study kelayakan pendanaan pembebasan lahan dan lain lain tidak dihitung ,1
"CEO Welbeck memberi tahu komite bahwa perlu memastikan karyawan dilatih, dipersiapkan, dan diberi kompensasi dengan cara yang memungkinkan mereka bereaksi terhadap pasar yang bergeser.",0
Nancy Rogers tidak terdaftar.,0
"Kedua pria itu tidak peduli apa yang terjadi pada budaya lain, hanya budaya mereka sendiri.",0
 kalau tidak mau macet pulang saja kamu ke kampung sana dasar orang udik masih nyeri makan sama buang tai saja mendengarkan lagu anakjaka aasikasik ,1
Program awam pendidikan berurusan dengan hukum dan keadilan.,0
Ini adalah layanan yang dapat membantu petani dan peternak yang menghadapi ancaman terhadap sumber daya mereka.,0
 katanya sudah jadi om kemarin itu gunting titit apa maksudnya ,1
BAJINGAN MEMANG !!! SEMUA BERASA BAJINGAN !!!,1
"Setelah empat tahun yang penuh siksaan, Clinton akhirnya mendapatkan cara untuk menghindari perilaku tidak kepresidenan.",0
Agamis mata lu picek. Antara tolol dan bego emang beda tipis.,1
Kara ingin mengumpat Anjing tai babi ,1
Mereka berpikir semakin banyak perhatian akan membuat semakin sulit untuk bersembunyi.,0
"Klopot, lu bikin gue kesel banget!",1
Kita disini mau bikin project untuk memperingati Hari Autis Sedunia,1
Bejat! Lo itu cuma tukang bohong dan gak punya harga diri.,1
Jon merasa muda dan sigap.,0
"Di nomor 73 di sisi selatan alun-alun, Arsip Arsitektur Irlandia dapat ditemukan.",0
"Jangan berharap lo bisa sukses, nggak punya otak sama sekali!",1
Apa dia suka cium babi.,0
Itu adalah tempat yang sunyi.,0
SI ANJING SI ANJING,1
Apa rencanamu untuk akhir pekan ini? Ingin bertemu dan menghabiskan waktu bersama?,0
Aku tidak punya uang untuk diberikan padamu.,0
monyet prabowo ini memang lucu,1
Negara telah memutuskan untuk membagi layanan bantuan hukumnya menjadi beberapa program.,0
Apakah itu Sherlock Holmes?,0
Ni monyet pake dp Tapi kerja nya gibulin Orang2,1
 sekolah di sekolahan kristen dan tidak memondok di pesantren dan kuliah di lembaga ilmu pengetahuan islam dan arab yayasan wahabi dan dua kali di penjara dan ceramah dukung isis dan anggap saudara dan kabur dari kasus hukum mengaku ib umat islam halo umat yang mana ,1
PC saya tidak pernah digunakan untuk meniru apa pun.,0
Mantap anjing,1
"Dia memberi anak laki-laki itu pakaian, hadiah, dan tumpangan kuda poni. Itu sulit untuk bersaing.",0
"Kambing kau, kau selalu bertingkah seolah-olah kau tahu segalanya!",1
Distrik wisata yang kaya memiliki pusat perbelanjaan dan sejumlah restoran yang bagus.,0
 apalagi yang masuk jurusan karena tren goblok anjing bangsat asu tolol bangsat bangsat bangsat bangsat ,1
lu risih gausah ngatain orang lain autis juga kali,1
 bubarkan saja dewan perwakilan rakyat kerjanya santai mengantuk apa digaji wakil wakil rakyat yang tidak becus menyusahkan rakyat saja ,1
 oke sudah sana sama jablay jablay mu ,1
"Lihat di sini, Anda telah melontarkan banyak pertanyaan ke arah saya.",0
 tvone televisi favorit kaum fiksi yang dungu ,1
Lo mau maenin cewe? gue kasih monyet cewe sini biar puas,1
"Klp Ahok kalah lg ,berarti hukum di negara ini sdh cacat total !",1
gue benci banget lihat orang koar koar spoiler avenger yaelah sebelum avenger keluar juga film film yang lain dibegitukan juga tidak pada protes kenapa baru pada protes sekarang bacot ,1
Cowok jaman sekarang tuh BAJINGAN !!,1
Saya harap kantor Anda memenuhi standar Anda.,0
Anak kecil itu memahaminya dengan sempurna.,0
itu yg goodlooking tpi sok2 an insecure biar apa si anjing?,1
"Sumpah gw kesel amat dah lihat video ini, bukannya mencari pendidikan berkarakter tetapi pendidikan barbar anjing!!!",1
"Kita akan gagal, bukan?",0
"Perek, nggak tau diri banget sih lu.",1
IDA istimewa karena penabung berpenghasilan rendah menerima dana pendamping dari pemerintah federal dan negara bagian.,0
"Buta kau, kau tidak melihat apa yang sebenarnya terjadi!",1
Moralitas bernilai tinggi bagi semua orang tidak peduli siapa mereka.,0
 bachtiar mabuk pipis onta ,1
"Pantat lo kayak tong sampah, mending jangan ada di sini!",1
Microsoft adalah perusahaan yang lebih menguntungkan daripada Apple.,0
Puncak Gunung Fengari terlarang dan Anda tidak bisa mendakinya.,0
Saya tidak yakin.,0
Beberapa pembaca mungkin menemukan novel memiliki bagian sentimental.,0
 kebanyakan fitnah nih empok silvy debat final pemilihan kepala daerah jakarta gue gue,1
"Montluc menjarah dan menjarah pulau itu, membunuh banyak penduduknya.",0
Saya ingin kembali ke universitas.,0
"Ketika kita menghadapi situasi yang sulit atau menantang, penting untuk mencari dukungan dari orang-orang yang peduli dan siap membantu kita, sehingga kita bisa melewati masa-masa sulit dengan lebih mudah.",0
Itu terkonsentrasi dan terbatas pada ruang kecil.,0
Bener setan gada harga dirinya di Indonesia,0
Anjing gak main twitter kak,1
Folow anjing jangan komen doang,1
Kaum Muslim merebut Kota Suci.,0
"Mengurangi HIV itu penting, tetapi ada juga penyebab lain yang layak.",0
 omongan mu rusak dasar kontol ,1
DOD pasti akan mendapat pengembalian yang buruk atas dana ini.,0
Severn tahu segalanya tentang anak-anak Jarvis.,0
Manajer harus mengembangkan standar mereka sendiri untuk operasi tanpa bantuan apa pun.,0
Kamu tahu tidak cara memilih karya seni yang tepat untuk ditempatkan di ruangan? Aku ingin belajar tentang cara memilih karya seni yang sesuai dengan tema dan suasana ruangan.,0
Saya tidak pernah menggunakan Crossfire.,0
"Sayang nya gak berani go publish, boleh ngomong cupu gak sih le aku ke kamu",1
Agra masih eksis hingga saat ini sebagai ibu kota.,0
 namanya juga rezim suka suka dan mereka yang buat peraturan mereka juga yang melanggar ,1
Kami telah memiliki kabel selama lima tahun terakhir.,0
Kami bermain di banyak tempat berbeda dalam perjalanan kami.,0
enggak mau lihat direct message dari kamu ah sudah tau gue bertanya tentang apa bolot ,1
Tuppence tidak begitu senang mengakuinya.,0
anjing ngakak,1
"Ada orang yg bilang jangan siul malem-malem, karena bisa manggil setan.",0
Anjing! Lo itu cuma bikin orang lain kesal dan gak punya malu.,1
Sekali lari jantung ke mau pecah anjing,1
"Nyaris Tanpa Cacat, Mahfud MD Layak Jadi Cawapres Jokowi ",0
"Anies gunting anggaran BUMD, elu  pura budheg",1
 ngapain di pusing goblok saja kamu nya mengekspose zionisme keparat itu jangan jangan kamu yang expose berita kayak begini orang gila yang senangnya mengadudombakan orang lain ,1
Susan adalah guru kelas lima.,0
kesel banget anjing ga inget inget kemaren mikirin apa huhhhhhhhhhh gedek banget,1
Jobs tidak pernah memegang ide terlalu lama.,0
Bangsat kamu! Kenapa sih lo selalu bikin orang lain susah?,1
kukira kau rumah ternyata kandang babi,1
Gambar 1.2 akan mengilustrasikan fakta ini dan membuatnya lebih mudah untuk dipahami.,0
Bajingan lo! Gw udah capek banget sama sikap lo yang nggak bisa dihargai.,1
"Ada aja anjing yg buat gue ketawa pagi pagi gini,asu lah wkwkwk",1
 kalau kamu di banding ar jauhlah koen manusia suka dilatih selet kok sudah menggilakan kamu tukang fitnah tukang fitnah sama dengan pemakan daging manusia nanti pak ai mana lagi kamu ikuti semoga orang medan cuma kamu saja yang bejat ,1
 benar kamu tidak ada apa apa nya,1
"Goblok banget, nggak tau apa-apa!",1
"Berisi Undang-Undang Restrukturisasi dan Reformasi IRS, permintaan anggarannya, dan administrasi berbagai pajak",0
Tahun Reformasi Hasilkan Demokrasi yang Cacat ,0
Ada seorang wanita tua di desa yang saya kunjungi.,0
Mereka percaya perempuan adalah jenis kelamin yang lebih cerdas.,0
Setiap orang harus menemukan situasinya mudah.,0
"Hanson membungkuk untuk memeriksanya lagi, melalui lensa berlian.",0
Yang menyebabkan agama cacat ialah hawa nafsu.,1
Maju cepat ke tahun 1994 dan tahun-tahun setelahnya.,0
"Kepala kote! Jangan cuma ngomong doang, lo harus bisa bertanggung jawab juga.",1
Mereka hanya berasumsi bahwa dia telah melakukan kesalahan.,0
Mereka telah membayar tabungan hidup mereka.,0
Dia tidak punya jawaban.,0
monyet lu,1
Program pelatihan ketenagakerjaan federal tidak dapat melaporkan jumlah pesertanya.,0
Saya gagal dalam karir palsu saya.,0
"Masih ada aja makhluk tolol kayak lo, heran. Bukan pekara hoax nya atau engga. Lo nyadar ga sih bego itu gambarnya serem?",1
Tuppence tidak bisa bicara.,0
Makan babi haram jugoo.,0
Jumlah pembuat rebusan akan berkurang drastis seperti yang diharapkan.,0
Henry R. Wray dapat dihubungi di (555) 512-8581.,0
Laknat! Lo itu cuma bikin orang lain menderita dan nggak ada gunanya.,1
"ADA ADA AJA SUPIR ANGKOT W BLG KIRI, TP LAMA BGT GA BERENTI2 TRS MALAH 'WEY ANJING' GA WARAS BGT DAH",1
BEGINI DOANG GW JEJERITAN ANJING,1
 memang kamu siapa cebong ,1
Saya sering menghabiskan waktu dengan bermain video game bersama teman-teman online.,0
Art Cooper kehilangan pekerjaannya sebagai editor GQ tidak lama kemudian.,0
"Saat teh selesai, dia melepaskan tangannya dariku.",0
Bork bergidik karena dia mulai merasa kedinginan.,0
Peningkatan IQ dapat dilakukan melalui penggantian janin pada trimester pertama.,0
Apa hobi Anda selain bekerja? Saya senang bersepeda di akhir pekan.,0
kita susah berharap pada pak ai pendukung pemerintah karena mereka sudah terbukti jadi pendukung setia ahok sih penista agama musuh umat islam,1
Kalo tau malu gaakan nge bangsat,1
kukira kau rumah ternyata kandang babi,1
"Di tengah sains yg hebat, membantu mengingatkan anak2 kita, bhw asal usul manusia bkn dr keturunan monyet tp keagungan ciptaan TUHAN",0
Suka Ngomongin Orang Dan Menjilat Bos Saat Maut Wajahnya Berubah Menjadi Babi ,0
 keris kok di letakkan di depan mengajak perang siapa hati hati sebentar lagi dipecat sama ,1
"Mengerikan sekali mereka dilempari batu lebih dulu, bantahku.",0
Apakah genre musik itu masih ada?,0
Anjing liar aja lebih berguna dari lo!,1
"Hyukjae bgst, otak gue traveling kemana-mana ye kunyuk segala dikasih emot begituan juga.",1
Prancis tahu ini adalah tempat yang bagus untuk tinggal.,0
"Sok bijak, padahal bangsat!",1
Ngapain sih monyet,1
"Dalam hal layanan terapi, kebijakan dan prosedur tidak relevan.",0
Nocera adalah editor kepala untuk Slate.,0
"Kontol kau, kau merusak semuanya! Ngentot kau, berhenti merusak semuanya!",1
Sisanya dihancurkan berabad-abad yang lalu.,0
Makasih banget udah bikin tempat penampungan buat para wibu autis kabupaten,1
Ya emang kalo ga brengsek ya bajingan gaada bedanya semua mau yang berseragam mau yang swasta sama aja anjeeeng,1
 bera i bapak sama dewan perwakilan rakyat tidak dapat dipercaya dong jadi lebih baik bubarkan saja ,1
 setan kamu ,1
Anak bajingan! kurang ajar kamu! mending saya gapunya anak sama sekalian.,1
Apakah ada program yang cocok?,0
"Anjing lo, nggak punya harga diri sama sekali!",1
"Si bangsat lg mancing, emang bajingan tu orang.",1
"mau hijrah tp ngeliatin video polisi jd kaga jadi, pada kaya ANJING soalnya",1
Orang-orang Hindu dengan damai memprotes orang-orang Sikh.,0
Setan Indonesia mulai kehilangan kharisma nya ,0
 oh ternyata kesibukan be ambah promosi hoaks kampret lah nini nomor 0856 bisa di daftar ke tidak biar tidak perlu ganti nomer dan terlalu sibuk promosi hoaks ,1
Jijik gue liat muka lu yang menyebalkan itu.,1
Bangsat kamu! Jangan harap gw bakal berurusan sama orang kayak lo yang nggak tau diri.,1
Mencoba memakan babi warga.,0
"Yang cukup menarik, setiap item adalah bangsal vampir dan menjauhkan vampir.",0
eh tetapi ya membicarakan pacaran beda agama teman gue o unya beda agama tapi tetap sama keyakinannya masing masing ibunya islam ayahnya kristen bera i tidak apa apa dong ,1
Apa kamu pernah mencoba game lain yang serupa dengan game ini? Aku ingin tahu game lain yang sejenis dan menarik untuk dimainkan.,0
Itu menampung patung Venus dan salah satu Kaisar Hadrian.,0
"Anjir, Bangsat kau",1
Mungkin ide yang bagus untuk menyewa senjata.,0
Anjing! Lo itu nggak punya otak ya?,1
Saya ingat dengan jelas seperti apa rupa mereka.,0
Kolektor mendasarkan harga barang antik Cina mereka hanya dari usia mereka.,0
nyari masalah mulu lhu monyet,1
ups... muke babi ngepet ditayangin lg ,1
 anu jangan bilang copras calon presiden selesaikan dulu jadi gubernur eh tau tau nya mencalonkan presiden anu janji saat ini belum ada yang ditepati anu kakak anu sudah ya dilan balikan ke solo 2019 ganti presiden,1
Wanita berkumpul di tempat ini untuk menyalakan dupa dan memanjat batu.,0
"Aku baru saja membeli sepeda baru, ingin mencoba bersepeda ke pantai pada akhir pekan ini. Kamu ingin ikut?",0
Udara gersang menembus tanah di sekitarnya.,0
"Jadi manusia itu unik, kadang dipanggil kampret, kadang monyet, kadang juga anjing",1
Burung dan kupu-kupu yang fantastis terlihat terbuat dari kertas di bengkel kampung.,0
"Ngentot kau, berhenti merusak semuanya!",1
Anak-anak kecil itu tidak bisa memahaminya.,0
Anjing ya gausa denger omongan orang bgst,1
kalian kayak tidak pernah nonton bokep semua saja munafik lo anjing.,1
Watchter bekerja untuk Universitas Chicago.,0
"Pikirkan baik-baik apakah Anda ingin membawa kamera atau tidak, ada biaya tambahan dan flash tidak diperbolehkan.",0
Saya juga seorang siswa lurus-A.,0
Ceritanya belum diceritakan.,0
 cebong kocak muka kamu kayak pantat kodok ,1
Status anak haram tu kekal sampai dia mati walaupun dia tak mintak pun dilahirkan ,1
Beberapa perspektif mungkin subjektif.,0
Perusahaan asing harus mengambil uang India.,0
Hanya dua orang yang muncul untuk pertemuan itu.,0
"Makam/pilar Absalom berukuran kecil dan sederhana, terlepas dari makna sejarahnya.",0
Itu jelas,0
"Apa kamu sering berpartisipasi dalam kegiatan seni, seperti menggambar, menulis, atau memainkan musik? Aku ingin tahu seberapa sering kamu mengekspresikan diri melalui seni.",0
Bila babi hutan berkata-kata,0
Cokelat dan kismis  dapat membunuh anjing.,0
Bangsat babi anjing kocheng asuuuuuu,1
Yang bilang Alisa jelek. Emang secantik Alisa?,1
"Ketika kita melakukan kesalahan atau melakukan tindakan yang salah, penting untuk meminta maaf dan berusaha untuk memperbaiki kesalahan tersebut.",0
TAI KUCING BILANG AJA EMG SANGEAN TOLOL KAUM LO NOH SASIMO TAPI MUKA KAYA PALKON AJA BELAGU,1
Ngakak gw serius lucu banget monyet!!!,1
Sungai Hitam mendapatkan namanya karena air di alirannya sebenarnya berwarna hitam.,0
GEDE BANGET BARANGNYA ANJING,1
"Ada efek samping radikal yang tidak disengaja, kata guru itu.",0
Apa yang harus di banggakan dari polisi ??? Mereka sama seperti kami bajingan bahkan mereka lebih bajingan,1
Pada tahun 1923 ibu kota dipindahkan ke kota Ankara.,0
 dulu dipaksa menanam sama van den bosch di ambil hasilnya di jual sama belanda via voc lalu hasilnya pun di korup voc sayangnya sampai merdeka pin begitu hasil panen di salurkan lewat badan pemerintah amp juga di korup sama pejabat bangkai dan dan,1
Cobalah.,0
mereka ini lah yang menggiring opini presiden lama menang 2 periode kalau lawannya prabowo yang sebenarnya meluluskan 2 periode jadi hati hati walaupun mereka bukan cebong tetapi mereka adalah agen ganda ,1
Tidak ada yang akan mengikuti kita saat kita meninggalkan rumah kali ini.,0
Monyet tu satu kelas dengan aku,1
Ada tombol di halaman yang mudah digunakan.,0
"Kamu pasti udah sering manfaat asam folat, yaitu untuk mencegah risiko cacat otak dan sumsum tulang belakang pada janin. ",0
Anda sebenarnya adalah Hantu Gurun.,0
Bajingan u semua! Pagi2 teriak. Pengen gw tabokin tu mulut2 kalian. Semakin tdk sanggup hidup dngn manusia2 aneh spt kalian!!,1
Biaya masing-masing fungsi dapat dilihat pada Tabel 1.,0
Ada cewek cantik putih mulus sexy sayang dulunya laki haha kaga lucu anjing,1
Stark menghindari pukulan.,0
"Ketika kita merasa lelah atau tidak bertenaga, kita bisa mencoba untuk mengambil waktu untuk beristirahat dan memulihkan tenaga agar kita bisa kembali produktif dan efektif.",0
AICPA adalah Institut Akuntan Publik Bersertifikat Amerika.,0
Hujan cukup deras untuk membanjiri semuanya di sini dan membuat kue beras.,0
Keterbatasan dana dapat diatasi melalui koordinasi pelayanan.,0
"Otak lo kaya tukang becak, kosong!",1
John Panzar menunjukkan bahwa lebih murah bagi satu perusahaan untuk mengirim barang daripada beberapa perusahaan mengirim ke pelanggan yang sama.,0
ganggu bgt anjing pengen gue penggal,1
"Saya suka mengikuti acara TV tentang kuliner, karena selalu ada resep baru yang menarik untuk dicoba.",0
"Kita akan pergi ke pesta ulang tahun Bibi Basia hari ini, ingat?",0
Kamu tahu.,0
Ini bekerja paling baik untuk menemukan hal-hal dari TV saya.,0
Di dunia nyata juga ada tapi tokoh liciknya yang anjing bukan kucing.,0
"Kasi mati AC kmrmu biar panas bro, pasti hangat RT",0
cwok kaya anjing gitu,1
